"","SITE_ID","SITE_NAME","SURVEY_ID","EVENT_DATE","SURVEY_SPECIES_ID","SPECIES_ID","SPECIES_NAME","LATIN_NAME","SPECIES_RUN_ID","RUN_NUMBER","BULK_MEASURED_ID","BULK_LENGTH_START","BULK_LENGTH_END","BULK_FISH_COUNT","BULK_FISH_WEIGHT","AGE_BAND"
"199",41973,"Kneeton Net",151872,2017-10-06,670923,284,"Minnow","Phoxinus phoxinus",889973,1,195760,,,1,,""
"200",41974,"Farndon Net",151882,2017-10-09,671033,193,"Gudgeon","Gobio gobio",890135,1,195777,,,2,,""
"201",39787,"Muskham Bridge Net",151958,2017-10-13,671492,153,"Dace","Leuciscus leuciscus",890740,1,195937,,,28,,""
"202",39787,"Muskham Bridge Net",151958,2017-10-13,671493,194,"Roach","Rutilus rutilus",890741,1,195938,,,72,,""
"203",39787,"Muskham Bridge Net",151958,2017-10-13,671496,284,"Minnow","Phoxinus phoxinus",890744,1,195939,,,485,,""
"204",36189,"North Clifton Net",151959,2017-10-13,671509,153,"Dace","Leuciscus leuciscus",890779,1,195940,,,95,,""
"205",36189,"North Clifton Net",151959,2017-10-13,671510,194,"Roach","Rutilus rutilus",890780,1,195941,,,15,,""
"206",36189,"North Clifton Net",151959,2017-10-13,671511,152,"Chub","Leuciscus cephalus",890781,1,195942,,,130,,""
"207",39786,"Sawley Weir Net",151969,2017-10-12,671563,284,"Minnow","Phoxinus phoxinus",890831,1,195953,,,55,,""
"208",71144,"Dunham Bridge",152645,2018-06-08,676195,241,"European eel","Anguilla anguilla",897323,1,196797,,,1,,""
"209",71144,"Dunham Bridge",152645,2018-06-08,676196,285,"Spined loach","Cobitis taenia",897324,1,196798,,,3,,""
"210",71146,"East Ferry",152646,2018-06-13,676197,213,"Pike","Esox lucius",897335,1,196800,,,3,,""
"211",71146,"East Ferry",152646,2018-06-13,676198,286,"Stone loach","Barbatula barbatula",897336,1,196801,,,1,,""
"212",71384,"DS Hazelford Weir",153129,2018-08-24,679174,153,"Dace","Leuciscus leuciscus",901542,1,197303,,,98,,""
"213",71385,"Nabbs Island",153133,2018-08-24,679189,153,"Dace","Leuciscus leuciscus",901580,1,197316,,,45,,""
"214",71385,"Nabbs Island",153133,2018-08-24,679191,284,"Minnow","Phoxinus phoxinus",901582,1,197317,,,19,,""
"215",34661,"Colwick Marina Net",153533,2018-10-03,681592,194,"Roach","Rutilus rutilus",904720,1,197797,,,933,,""
"216",34661,"Colwick Marina Net",153533,2018-10-03,681594,182,"Common bream","Abramis brama",904722,1,197798,,,161,,""
"217",34661,"Colwick Marina Net",153533,2018-10-03,681595,153,"Dace","Leuciscus leuciscus",904723,1,197799,,,80,,""
